,Jan 1997,Feb 1997,Mar 1997,Apr 1997,May 1997,Jun 1997,Jul 1997,Aug 1997,Sep 1997,Oct 1997,Nov 1997,Dec 1997
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,5.369,5.133,5.7,5.225,5.568,5.613,5.156,4.383,3.811,4.029,3.862,4.213
Geothermal,0.263,0.238,0.263,0.255,0.263,0.255,0.263,0.263,0.255,0.263,0.255,0.263
Solar,0.005,0.005,0.007,0.008,0.009,0.009,0.009,0.009,0.008,0.008,0.006,0.006
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,163.338,121.914,137.828,137.73,146.532,122.31,142.009,149.617,140.745,181.433,150.249,136.909
Waste,15.107,14.174,15.349,15.394,15.916,15.154,15.687,15.724,14.812,15.776,15.189,15.733
Fuel Ethanol,0.106,0.112,0.123,0.111,0.115,0.096,0.131,0.1,0.112,0.156,0.122,0.158
Losses and Coproducts,6.244,5.949,6.845,6.09,7.726,5.746,7.205,5.326,6.606,7.635,6.402,8.156
Total,184.795,142.149,160.145,159.325,170.289,143.306,165.032,170.766,162.274,204.999,171.962,160.956
Total,190.431,147.525,166.116,164.812,176.13,149.182,170.461,175.421,166.348,209.299,176.086,165.438
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,7.51,7.936,8.69,7.84,8.117,6.804,9.276,7.049,7.912,11.012,8.618,11.203
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,7.51,7.936,8.69,7.84,8.117,6.804,9.276,7.049,7.912,11.012,8.618,11.203
