Year,Coal,Oil,Gas,Subtotal_fossil,Nuclear,Hydro,Geothermal,Solar,Wind,Wood,Bio_other,Subtotal_renewable,Misc,Total
2018.0,1146.39,24.57,1480.2,2651.17,807.08,291.72,16.73,66.6,274.95,41.41,21.35,712.77,51.26,4222.28
2017.0,1205.84,21.39,1308.89,2536.12,804.95,300.33,15.93,53.29,254.3,41.15,21.61,686.61,62.9,4090.58
2016.0,1239.15,24.2,1391.11,2654.47,805.69,267.81,15.83,36.05,226.99,40.95,21.81,609.45,67.49,4137.1
2015.0,1352.4,28.25,1346.6,2727.25,797.18,249.08,15.92,24.89,190.72,41.93,21.7,544.24,75.61,4144.27
2014.0,1581.71,30.23,1138.63,2750.57,797.17,259.37,15.88,17.69,181.655,42.34,21.65,538.58,60.5,4146.2
2013.0,1581.12,27.16,1137.69,2745.97,789.02,268.57,15.78,9.04,167.84,40.0,20.83,522.07,55.64,4112.7
2012.0,1514.04,23.19,1237.79,2775.02,769.33,276.24,15.56,4.33,140.82,37.8,19.82,494.57,56.1,4095.0
2011.0,1733.4,30.2,1025.3,2788.9,790.2,319.4,15.3,1.82,120.2,37.4,19.2,513.32,46.0,4138.4
2010.0,1847.3,37.1,999.0,2883.4,807.0,260.2,15.2,1.21,94.7,37.2,18.9,427.4,33.3,4151.0
2009.0,1755.9,38.9,931.6,2726.5,798.9,273.4,15.0,0.89,73.9,36.1,18.4,417.7,41.4,3984.4
2008.0,1985.8,46.2,894.7,2926.7,806.2,254.8,14.8,0.86,55.4,37.3,17.7,380.9,38.3,4152.2
2007.0,2016.5,65.7,910.0,2992.2,806.4,247.5,14.6,0.61,34.5,39.0,16.5,352.7,36.6,4188.0
2000.0,1966.0,111.0,615.0,2692.0,754.0,260.0,14.0,0.49,5.6,37.6,23.0,318.7,38.6,3836.0
