Year,Summer Capacity,Electricity Generation,Capacity Factor,Year Growth Capacity,Year Growth Produced,Portion of Renewable,Portion of Total
2018,79.89,291.72,0.417,0.12%,-2.7%,40.9%,7.0%
2017,79.79,300.05,0.430,-0.2%,12%,43.7%,7.44%
2016,79.91,267.81,0.383,0.3%,7.50%,43.9%,6.57%
2015,79.66,249.08,0.357,0.56%,-4.0%,45.77%,6.11%
2014,79.24,258.75,0.373,0.05%,-3.66%,47.93%,6.32%
2013,79.22,268.57,0.387,0.64%,-2.78%,51.44%,6.61%
2012,78.7,276.24,0.401,0.06%,-13.50%,55.85%,6.82%
2011,78.65,319.36,0.464,-0.23%,22.74%,62.21%,7.79%
2010,78.83,260.2,0.377,0.39%,-4.85%,60.88%,6.31%
2009,78.52,273.45,0.398,0.76%,7.31%,65.47%,6.92%
2008,77.93,254.83,0.373,0.05%,2.96%,66.90%,6.19%
2007,77.89,247.51,0.363,0.09%,-14.43%,70.18%,5.95%
2006,77.82,289.25,0.424,0.36%,7.00%,74.97%,7.12%
2005,77.54,270.32,0.398,-0.13%,0.71%,75.57%,6.67%
2004,77.64,268.42,0.395,-1.33%,-2.68%,76.36%,6.76%
