,Year,Summer capacity  (GW),Electricity generation  (TWh),Capacity factor,Yearly growth of  generating capacity,Yearly growth of  produced energy,Portion of  renewable electricity,Portion of  total electricity
0,2018,79.89,291.72,0.41700000000000004,0.12%,-2.7%,40.9%,7.0%
1,2017,79.79,300.05,0.43,-0.2%,12%,43.7%,7.44%
2,2016,79.91,267.81,0.38299999999999995,0.3%,7.50%,43.9%,6.57%
3,2015,79.66,249.08,0.35700000000000004,0.56%,-4.0%,45.77%,6.11%
4,2014,79.24,258.75,0.373,0.05%,-3.66%,47.93%,6.32%
5,2013,79.22,268.57,0.387,0.64%,-2.78%,51.44%,6.61%
6,2012,78.7,276.24,0.401,0.06%,-13.50%,55.85%,6.82%
7,2011,78.65,319.36,0.46399999999999997,-0.23%,22.74%,62.21%,7.79%
8,2010,78.83,260.2,0.377,0.39%,-4.85%,60.88%,6.31%
9,2009,78.52,273.45,0.39799999999999996,0.76%,7.31%,65.47%,6.92%
10,2008,77.93,254.83,0.373,0.05%,2.96%,66.90%,6.19%
11,2007,77.89,247.51,0.363,0.09%,-14.43%,70.18%,5.95%
12,2006,77.82,289.25,0.424,0.36%,7.00%,74.97%,7.12%
13,2005,77.54,270.32,0.39799999999999996,-0.13%,0.71%,75.57%,6.67%
14,2004,77.64,268.42,0.395,-1.33%,-2.68%,76.36%,6.76%
