,Geothermal Electric Generation in the United States,Geothermal Electric Generation in the United States,Geothermal Electric Generation in the United States,Geothermal Electric Generation in the United States,Geothermal Electric Generation in the United States,Geothermal Electric Generation in the United States,Geothermal Electric Generation in the United States,Geothermal Electric Generation in the United States
,Year,Summer capacity  (GW),Electricity generation  (TWh),Capacity factor,Yearly growth of  generating capacity,Yearly growth of  produced energy,Portion of  renewable electricity,Portion of  total electricity
0,2018,2.54,16.73,0.752,2.4%,5%,2.34%,0.40%
1,2017,2.48,15.93,0.733,-1%,0.6%,2.30%,0.39%
2,2016,2.52,15.83,0.718,-1%,-0.6%,2.60%,0.39%
3,2015,2.54,15.92,0.715,-2.53%,-4.28%,2.92%,0.39%
4,2014,2.6069999999999998,16.63,0.728,0.00%,5.39%,3.08%,0.41%
5,2013,2.6069999999999998,15.78,0.691,0.58%,1.4%,3.02%,0.39%
6,2012,2.592,15.562000000000001,0.685,7.60%,1.61%,3.15%,0.38%
7,2011,2.4090000000000003,15.315999999999999,0.726,0.17%,0.64%,2.98%,0.37%
8,2010,2.405,15.219000000000001,0.722,0.97%,1.40%,3.56%,0.37%
9,2009,2.3819999999999997,15.009,0.7190000000000001,6.86%,1.14%,3.59%,0.38%
10,2008,2.229,14.84,0.76,0.68%,1.39%,3.90%,0.36%
11,2007,2.214,14.637,0.755,-2.64%,0.47%,4.15%,0.35%
12,2006,2.274,14.568,0.731,-0.48%,-0.84%,3.78%,0.36%
13,2005,2.285,14.692,0.7340000000000001,6.18%,-0.80%,4.11%,0.36%
14,2004,2.1519999999999997,14.811,0.7859999999999999,0.89%,2.68%,4.21%,0.37%
