,Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW),Hawaii Grid-Connected PV Capacity (MW)
,Year,Capacity,Installed,% Change,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
0,2007,4.5,2.9,181%,,,,,,,,,
1,2008,13.5,8.6,200%,,,,,,,,,
2,2009,26.2,12.7,94%,,,,,,,,,
3,2010,44.7,18.5,71%,,,,,,,,,
4,2011,85.2,40.5,91%,,,,,,,,,
5,2012,199.5,114.3,134%,,,,,,,,,
6,2013,358.2,158.7,80%,,,,,,,,,
7,2014,447.0,151.0,25%,,,,,,,,,
8,2015,564.0,117.0,26%,,,,,,,,,
9,2016,674.0,110.0,20%,,,,,,,,,
