,Name,Location
0,Intrepid,"between Schaller and Storm Lake, north of U.S. 20"
1,Top Of Iowa,"near Joice, west of I-35"
2,Story County I,north of Colo
3,Story County II,"south of Humboldt, Story and Hardin counties"
4,Pomeroy,"between Pomeroy and Fonda, along Iowa 7"
5,Endeavor,"near Lake-Park, Harris along Iowa 9"
6,Century,"north of Blairsburg, along U.S. 69, west of I-35"
7,Buena Vista,"Alta, Peterson, Truesdale area"
8,Victory,"near Arcadia and Westside, U.S. 30"
9,Carroll,"northwest of Carroll, near Mt. Carmel & Breda"
10,Hancock County,Klemme
11,Hardin Hilltop,"north of Jefferson, 7 towers"
12,Charles City,west of Charles City
13,Walnut,"near Walnut (n.e. of Council Bluffs), mostly south of I-80"
14,,"Franklin County, between Hampton and Iowa Falls"
15,Adair,"South of Adair, near I-80"
16,Barton,"near Kensett, east of I-35"
17,Crystal Lake,"between Buffalo Center and Crystal Lake, Hancock and Winnebago Counties"
18,Pioneer Prairie,Howard & Mitchell Counties
19,Crosswind Energy,"southeast of Ruthven, U.S. 18"
20,Lost Lakes,West of Milford - Dickinson County
21,Iowa Lakes Superior,"near Superior, U.S. 71"
22,Iowa Lakes Lakota,"near Lakota, Iowa 9"
23,Laurel,west of Laurel
24,Rippey,between Rippey & Grand Jct
25,Vienna,south of Gladbrook
26,Beaver Creek,Boone and Greene counties
27,Prairie,Mahaska County
